text,label
"The exiled leader of Tibetan Buddhism issues a landmark announcement as he turns 90, ending years of uncertainty. The music mogul is yet to be sentenced - the two charges he was found guilty of carry a maximum 10-year prison term. It would be well above the 24% tariff imposed on Japan as part of the so-called ""Liberation Day"" in April. A Hamas official tells the BBC the group is ""ready"" for a deal if it ends the war, but optimism remains low. Latest updates from the BBC's specialists in fact-checking, verifying video and tackling disinformation. The music mogul is yet to be sentenced - the two charges he was found guilty of carry a maximum 10-year prison term. On Tuesday the White House said that it had cut off some weapons deliveries to Ukraine in order ""to put America's interests first"".  It is the country's first formal ""truth-telling"" inquiry that ran for four years from 2021. Kanye West has long sparked controversy over his anti-Semitic remarks and has declared himself a Nazi. It would be well above the 24% tariff imposed on Japan as part of the so-called ""Liberation Day"" in April. The Dalai Lama, now 90, remains at the centre of China's complicated relationship with Tibet. With days to go before 9 July, when the tariff pause ends, hopes persist but negotiations are tough. The show's themes of unemployment and inequality are all too relatable for Korean viewers. The rapper was convicted of transporting people for prostitution and could be released on bail. Chen Tianming spent years fighting the demolition order, refusing to leave his family home, adding floor after floor to his grandfather’s bungalow. With days to go before 9 July, when the tariff pause ends, hopes persist but negotiations are tough. Potential rebels in the president's party have a range of concerns about the bill, from welfare cuts to national debt. Meryl Streep, Emily Blunt, Anne Hathaway and Stanley Tucci are all set to reprise their original roles. The show's themes of unemployment and inequality are all too relatable for Korean viewers. Five people on board died, while three survived with ""severe burns"", the military said. Newly-elected mayor Francisco Domagoso has advised residents to refrain from taking out their rubbish. The UK's biggest airport says it is considering legal action against National Grid following a report into a fire which led the site to close. Former nurse Lucy Letby is serving 15 life sentences for murdering seven babies and attempting to murder seven others. The painting once adorned the walls of Dowing Street during the tenure of Sir Robert Walpole. Newly-elected mayor Francisco Domagoso has advised residents to refrain from taking out their rubbish. The new law was passed to combat Singapore's worsening scam problem, but some have said it is too intrusive. The media company noted the settlement does not include a statement of apology or regret. The UK's biggest airport says it is considering legal action against National Grid following a report into a fire which led the site to close. Follow live text, BBC Radio 5 Sports Extra commentary and in-play video clips as England face India in the second Test at Edgbaston. Watch, listen and follow live coverage from Wimbledon, with Emma Raducanu and Katie Boulter among those in second-round action. Andy Farrell jokes that Wales flanker Jac Morgan can play ""wherever he wants"" in the British and Irish Lions back row after his stellar display in the win over Queensland Reds. Joao Pedro could play in Chelsea's Club World Cup quarter-final with Palmeiras after completing his move from Brighton. World number one Aryna Sabalenka continues her pursuit of a maiden Wimbledon title with a hard-fought victory over Czech player Marie Bouzkova. Watch, listen and follow live coverage from Wimbledon, with Emma Raducanu and Katie Boulter among those in second-round action. Follow live as Iceland take on Finland as Euro 2025 gets under way in Switzerland. British university student Ollie Tarvet is unable to create one of the biggest shocks in Wimbledon history against two-time champion Carlos Alcaraz. Andy Farrell jokes that Wales flanker Jac Morgan can play ""wherever he wants"" in the British and Irish Lions back row after his stellar display in the win over Queensland Reds. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.",1
"A Hamas official tells the BBC the group is ""ready"" for a deal if it ends the war, but optimism remains low. The call from some of the world's top aid organisations and charities comes after reports of soldiers killing hundreds of of Palestinians at aid sites. At least 86 people were killed as the result of Israeli attacks in the 24 hours before midday Sunday, the Hamas-run health ministry said. Hospital staff and witnesses said at least 11 people were killed after a strike near tents housing displaced people on Friday. The Hamas-run health ministry says more than 500 Palestinians have been killed since the GHF took over aid distribution. The call from some of the world's top aid organisations and charities comes after reports of soldiers killing hundreds of of Palestinians at aid sites. The outdoor cafe was frequently used by journalists, activists and local residents. The IDF said instructions had been issued to forces after ""lessons learned"". At least 86 people were killed as the result of Israeli attacks in the 24 hours before midday Sunday, the Hamas-run health ministry said. Israel's prime minister may be contemplating an early election, but he still faces corruption charges. A month into the resumption of aid distribution in Gaza there have been repeated reports of killings, with a BBC Verify analysis of dozens of videos showing chaos and panic as people head to get aid. EU foreign policy decisions have to be unanimous, so one objection can block the EU from taking action. The killing of Mohammed Sinwar marks the end of the secretive group that planned the 7 October 2023 attack on Israel.  Distinguished lawyers, senior humanitarians and diplomats tell Jeremy Bowen why they are increasingly concerned about the catastrophe inside Gaza. The private thoughts and reflections of a young woman whose life has altered course because of the war in Gaza. The director of al-Awda hospital describes its deteriorating conditions and eventual closure in voice notes sent to the BBC. The BBC travels in an ambulance from the Gaza border to Amman with Siwar and her family Adam al-Najjar is evacuated to Milan, where surgeons can work to save his arm which was severely damaged in the attack. Rather than representing the hope of new life, babies in Gaza have come to epitomise the struggle to survive. A Hamas official tells the BBC the group is ""ready"" for a deal if it ends the war, but optimism remains low. The call from some of the world's top aid organisations and charities comes after reports of soldiers killing hundreds of of Palestinians at aid sites. The outdoor cafe was frequently used by journalists, activists and local residents. The court has rejected a challenge brought by human rights groups. The IDF said instructions had been issued to forces after ""lessons learned"". At least 86 people were killed as the result of Israeli attacks in the 24 hours before midday Sunday, the Hamas-run health ministry said. Hospital staff and witnesses said at least 11 people were killed after a strike near tents housing displaced people on Friday. The private thoughts and reflections of a young woman whose life has altered course because of the war in Gaza. Israel's prime minister may be contemplating an early election, but he still faces corruption charges. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.",1
"A magnetic extractor is changing the face of front-line medicine in Ukraine. The attack on a factory in the city of Izhevsk was more than 1,000km (620 miles) from the border. Nato leaders meeting in The Hague say they have an ""ironclad commitment to collective defence"". President Zelensky said at least 100 more were injured in a Russian ballistic missile strike. Commander-in-chief Oleksandr Syrsky disputed Russian claims that Ukraine had been pushed out of Kursk. The attack on a factory in the city of Izhevsk was more than 1,000km (620 miles) from the border. Russian shattered Mariupol with a months-long siege in 2022. Now, it says it's rebuilding it. Russia launched its offensive in the spring aiming to create a ""buffer zone"" inside Ukraine to protect its border regions.  Nato leaders meeting in The Hague say they have an ""ironclad commitment to collective defence"". Russian minister Maxim Reshetnikov has warned that the country's economy was teetering ""on the brink of recession"". Despite the war, Ukraine has developed of the most advanced systems for digital government services. BBC Analysis Editor Ros Atkins and the BBC Verify team build up a picture of what happened and how it was done. Ukraine is in the middle of the most sustained bombardment since the early stages of the conflict.  On 1 June, more than 100 Ukrainian drones struck strategic targets deep into Russia in an elaborate and audacious operation. A cruise missile slammed into an ordinary residential block early on Tuesday, likely travelling at about 500mph. Authorities say nearly 16,000 Ukrainian civilians are still being held in Russian prisons. Ukraine says it hit the bridge with underwater explosives - the crossing was built by Russia after it annexed the Crimean Peninsula. Yogita Limaye was reporting from the town of Rodynske when a blast was heard nearby. There is cautious optimism in eastern Ukraine as talks are set to take place in Istanbul. Russia strikes Kyiv as a crisis erupts in the Middle East BBC journalist Myroslava Petsa on her viral exchange with the US president. On Tuesday the White House said that it had cut off some weapons deliveries to Ukraine in order ""to put America's interests first"".  A magnetic extractor is changing the face of front-line medicine in Ukraine. The attack on a factory in the city of Izhevsk was more than 1,000km (620 miles) from the border. Exercise Sea Breeze 2025 sees ships from Nato nations and Ukraine training off Portland in Dorset. Malmesbury hosts its Ivana Kupala celebration for the third year in the grounds of the Abbey. Russian shattered Mariupol with a months-long siege in 2022. Now, it says it's rebuilding it. MP Rachel Taylor will drive 1,300 miles from her constituency to the Poland-Ukraine border. Russia launched its offensive in the spring aiming to create a ""buffer zone"" inside Ukraine to protect its border regions.  Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.",1
"The music mogul is yet to be sentenced - the two charges he was found guilty of carry a maximum 10-year prison term. In total, the jury deliberated for 13 hours over three days to come to a unanimous decision on the charges against Combs. On Tuesday the White House said that it had cut off some weapons deliveries to Ukraine in order ""to put America's interests first"".  A Hamas official told the BBC the group is ""ready and serious"" to reach an agreement if it ends the war. As the US agency officially winds down foreign aid operations, former presidents hit out at Donald Trump. In total, the jury deliberated for 13 hours over three days to come to a unanimous decision on the charges against Combs. Potential rebels in the president's party have a range of concerns about the bill, from welfare cuts to national debt. The president has said he views the legislation as an integral part of his political legacy. On Tuesday the White House said that it had cut off some weapons deliveries to Ukraine in order ""to put America's interests first"".  The university said it would update records set by Lia Thomas to show ""who would now hold the records under current eligibility guidelines"". Administration officials say the new facility will speed up deportations, but local politicians and environmental groups have raised concerns. A leading Christian figure in the US, he cultivated a media empire and political influence until a sex scandal derailed his career. The US president suggests the cost-cutting agency the tech titan helped set up could be used against him. Relatives of one victim posted on Facebook that the state had failed them by allowing a plea deal.  The father jumped into ocean to save his daughter after she fell overboard as the ship made its way back to Florida. The US president touted the new immigration detention centre located deep in the Florida Everglades. The BBC’s Nada Tawfik reports from Manhattan as jurors begin deliberating the allegations against Diddy. President Trump told the BBC's Nomia Iqbal that he would bomb the country again ""without question"" if uranium enrichment escalated. Unflattering installations depicting Amazon founder and his bride-to-be are attracting attention in the Italian city. The rapper was convicted of transporting people for prostitution and could be released on bail. The Trump ally is divisive, but even his critics accept he is bringing renewed drive to some healthcare areas. Two transgender officers say they fear their military careers are over due to Trump’s ban on trans service members.   With days to go before 9 July, when the tariff pause ends, hopes persist but negotiations are tough. The BBC’s Nada Tawfik reports from Manhattan as jurors begin deliberating the allegations against Diddy. The rapper was convicted of transporting people for prostitution and could be released on bail. A New York jury clears Combs of the most serious charges, but finds him guilty on two counts of transportation to engage in prostitution. Potential rebels in the president's party have a range of concerns about the bill, from welfare cuts to national debt. In total, the jury deliberated for 13 hours over three days to come to a unanimous decision on the charges against Combs. As the US agency officially winds down foreign aid operations, former presidents hit out at Donald Trump. The tax and spending bill, which is now headed to the House, includes sweeping changes to taxes, Social Security and more. The university said it would update records set by Lia Thomas to show ""who would now hold the records under current eligibility guidelines"". Administration officials say the new facility will speed up deportations, but local politicians and environmental groups have raised concerns. The president has said he views the legislation as an integral part of his political legacy. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.",1
"A spokesperson for Reeves says it was a ""personal matter"" - meanwhile, the cost of government borrowing rises after the scenes are broadcast. Earlier investigations into evidence in case of neo-Nazi state agent were ""deficient"", judges rule. The Crown Prosecution Service is considering a ""full file"" of evidence submitted by Cheshire Police. The band made headlines with controversial comments on stage at Glastonbury about the IDF. While there is some short-lived hot weather in the forecast, cooler conditions are kicking in across the UK.
 Earlier investigations into evidence in case of neo-Nazi state agent were ""deficient"", judges rule. Heathrow says it is considering legal action against National Grid following a report into a fire which led the airport to close. Catherine says ""you put on a sort of brave face"" during treatment but afterwards it can also feel ""really difficult"". The Crown Prosecution Service is considering a ""full file"" of evidence submitted by Cheshire Police. The CCRC has come under intense criticism since Andrew Malkinson's wrongful conviction was overturned. The painting once adorned the walls of Dowing Street during the tenure of Sir Robert Walpole. Ryland Headley, who has been convicted of a decades-old murder, is to be investigated over unsolved offences. Zach Stubbings, who died in January, is one of at least six who have received a settlement from MoD. The chihuahua called Vilo survived by sleeping in a wardrobe in a flat in Scott Street, Perth, and taking food left for her by workers. A dinosaur roughly the size of a labrador has been reclassified as a new species and gone on display. Simon Pegg and Benedict Cumberbatch have been sharing their early memories of Glastonbury Festival. An artist says his hands are in pain after creating a portrait of the Gallagher brothers using 3,000 bucket hats. More than 1,000 scooter riders from around the world descended on Ayr. The first facelift in more than 50 years signals the possible end of historical figures on notes. The BBC's political editor Chris Mason and chief political correspondent Henry Zeffman on the welfare bill. From off-the-radar teenager to US college star - British qualifier Oliver Tarvet is aiming to stun Carlos Alcaraz. We take a look at river, reservoir and groundwater levels after a particularly dry few months. Official figures show that the birth rate in England and Wales went up for the first time since 2021. The teenager's mother is calling for a ""full, open and transparent process"".  The cash-strapped institution is ""moving quickly"" to find a replacement for Chris Reilly  Zach Stubbings, who died in January, is one of at least six who have received a settlement from MoD. Zak Hughes, 28, from Ardglen Place in north Belfast, is also charged with child destruction. Trains may be cancelled or delayed until the end of Wednesday due to the damage, National Rail say. Adm Sir Ben Key's behaviour was found to have ""fallen far short of values and standards expected of service personnel"" Earlier investigations into evidence in case of neo-Nazi state agent were ""deficient"", judges rule. While there is some short-lived hot weather in the forecast, cooler conditions are kicking in across the UK.
 The inquiry into the government's handling of the pandemic has heard from politicians, civil servants, experts and bereaved families. Catherine says ""you put on a sort of brave face"" during treatment but afterwards it can also feel ""really difficult"". The CCRC has come under intense criticism since Andrew Malkinson's wrongful conviction was overturned. Temperatures are set to fall after a scorching days in parts of England. The Royal's annual accounts show travel is a huge expenditure for the King and Queen. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.",1
"Five people on board died, while three survived with ""severe burns"", the military said. Gold appears to be a lifeline for military juntas and jihadist groups in the Sahel region, analysts say. It is the latest violent incident since a peace deal was signed in Washington last week. An uncle of Africa’s richest man, Dantata left behind 21 children and 121 grand children Explore key facts and the history of the competition as Morocco hosts the delayed 2024 Wafcon finals. Gold appears to be a lifeline for military juntas and jihadist groups in the Sahel region, analysts say. Tuesday's attack marks the third major assault on army positions over the past month. William Tolbert was killed during the 1980 coup - his body was then believed to be dumped in a mass grave.  It is the latest violent incident since a peace deal was signed in Washington last week. A 19-year-old tells the BBC how she miscarried as she fled attacks in the western Darfur region. A famous chess club is still producing champions, but faces a daily struggle to survive. Critics of the agreement have questioned whether it is thorough enough and will be able to bring peace. High inflation and a cost-of-living crisis means many Malawians, like Suzanna Kathumba, face tough choices.

 It is unclear if the dozens of armed groups in eastern DRC will accept a ceasefire. Cases of repression in Kenya, Uganda and Tanzania have fuelled concerns about possible collaboration. Some white farmers accept compensation 25 years after land reform began - others fight on. Celebrations break out as people from both countries greet each other for the first time in five years. Nigeria travel to Morocco bidding for a record-extending 10th Women's Africa Cup of Nations title, having last lifted the trophy in 2018. As Morocco hosts a second successive Women's Africa Cup of Nations finals, the kingdom continues towards its target of becoming a football superpower. Lhuan-dre Pretorius becomes the youngest centurion in South African Test history as he makes a brilliant 153 on debut at the age of 19 years and 93 days. Just days after the death of her husband, Blessing Illivieda joined a Nigeria training camp to honour his memory through the game they both loved.  Find out the format, fixtures, kick-off times, venues and favourites for the 2024 Women's Africa Cup of Nations finals in Morocco. Kawtar Bentaleb, a goalkeeper for top-flight club FUS Rabat, says staging the 2024 Women's Africa Cup of Nations will boost the women's game in Morocco. The BBC's Ian Wafula is in central Nairobi amid the protests to honour those killed a year ago. In Nigeria's northern Kano State, an unusual form of football is changing lives. Skate soccer is a fast-paced six-a-side sport which combines skateboards and the beautiful game. In an extraordinary Oval Office meeting, Trump pressed Cyril Ramaphosa on widely discredited claims of a white genocide in South Africa. Makhosazana Dlomo is South Africa's only black participant in the traditional cavalry sport of tent pegging. Three essential stories to round off your working day. Explaining the news from Africa. Five people on board died, while three survived with ""severe burns"", the military said. Tuesday's attack marks the third major assault on army positions over the past month. Gold appears to be a lifeline for military juntas and jihadist groups in the Sahel region, analysts say. William Tolbert was killed during the 1980 coup - his body was then believed to be dumped in a mass grave.  An uncle of Africa’s richest man, Dantata left behind 21 children and 121 grand children It is the latest violent incident since a peace deal was signed in Washington last week. M23 rebels have made rapid advances in the latest bout of conflict that has long-dogged the mineral-rich east. The victims, mostly young men, were lured with promises of football contracts or other jobs abroad. A 19-year-old tells the BBC how she miscarried as she fled attacks in the western Darfur region. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.",1
"The exiled leader of Tibetan Buddhism issues a landmark announcement as he turns 90, ending years of uncertainty. The Dalai Lama, now 90, remains at the centre of China's complicated relationship with Tibet. It would be well above the 24% tariff imposed on Japan as part of the so-called ""Liberation Day"" in April. The airline was hit by a cyber attack on a platform storing names, email addresses and phone numbers. The kings of K-pop are returning after all seven members completed their military service. The Dalai Lama, now 90, remains at the centre of China's complicated relationship with Tibet. It is the country's first formal ""truth-telling"" inquiry that ran for four years from 2021. Kanye West has long sparked controversy over his anti-Semitic remarks and has declared himself a Nazi. It would be well above the 24% tariff imposed on Japan as part of the so-called ""Liberation Day"" in April. Paetongtarn Shinawatra has been suspended as the constitutional court considers a petition for her removal. The new law was passed to combat Singapore's worsening scam problem, but some have said it is too intrusive. Newly-elected mayor Francisco Domagoso has advised residents to refrain from taking out their rubbish. A hiker who filmed the infestation told local media the bugs at Gyeyangsan mountain were like a ""thick carpet"". The Uttar Pradesh government says 37 people were killed in the Kumbh Mela crush, but the BBC has verified at least 82 deaths. With days to go before 9 July, when the tariff pause ends, hopes persist but negotiations are tough. The show's themes of unemployment and inequality are all too relatable for Korean viewers. The robots kicked, scored and tumbled while competing at a tourmentant in Beijing. At least 30 writers have been arrested across the country since February, a lawyer tells the BBC. The Dalai Lama, now 90, remains at the centre of China's complicated relationship with Tibet. The exiled leader of Tibetan Buddhism issues a landmark announcement as he turns 90, ending years of uncertainty. Paetongtarn Shinawatra has been suspended as the constitutional court considers a petition for her removal. The new law was passed to combat Singapore's worsening scam problem, but some have said it is too intrusive. A hiker who filmed the infestation told local media the bugs at Gyeyangsan mountain were like a ""thick carpet"". Several workers were injured and killed in a blast at the unit of Sigachi Industries in Telangana state. Newly-elected mayor Francisco Domagoso has advised residents to refrain from taking out their rubbish. The show's themes of unemployment and inequality are all too relatable for Korean viewers. The Uttar Pradesh government says 37 people were killed in the Kumbh Mela crush, but the BBC has verified at least 82 deaths. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.",1
"It is the country's first formal ""truth-telling"" inquiry that ran for four years from 2021. Kanye West has long sparked controversy over his anti-Semitic remarks and has declared himself a Nazi. They will decide whether Erin Patterson murdered relatives with beef Wellingtons laced with toxic mushrooms. Sam Murray tells the BBC about a few of his unexpected encounters on his fund-raising adventure. As hype over the game grows, so do concerns about the potential for brain injuries. Kanye West has long sparked controversy over his anti-Semitic remarks and has declared himself a Nazi. The airline was hit by a cyber attack on a platform storing names, email addresses and phone numbers. An Australian man has been charged with 70 offences, which police allege relate to eight children. They will decide whether Erin Patterson murdered relatives with beef Wellingtons laced with toxic mushrooms. Police have announced a new reward to find Peter Falconio body, 24 years on from his outback murder. Terry Harper has been tuning pianos in the iconic venue since he was a teen - a family legacy started by his dad. The 40,000-year-old boomerang was made with an astonishing level of skill and ingenuity, say scientists. The White House has put the landmark agreement between the US, UK and Australia under review. The rapper appeared before Perth Magistrates Court in Australia on Friday. Channel Nine's Lauren Tomasi appeared to be hit by a non-lethal round as she reported from the scene. As the jury deliberates Erin Patterson's fate, the BBC looks at what the key takeaways so far. The MP ended his time in parliament by drinking beer out of his shoe during his farewell speech. Taree, a city in New South Wales, Australia has been among the worst impacted by record levels of rainfall. Kanye West has long sparked controversy over his anti-Semitic remarks and has declared himself a Nazi. It is the country's first formal ""truth-telling"" inquiry that ran for four years from 2021. The airline was hit by a cyber attack on a platform storing names, email addresses and phone numbers. An Australian man has been charged with 70 offences, which police allege relate to eight children. As the jury deliberates Erin Patterson's fate, the BBC looks at what the key takeaways so far. They will decide whether Erin Patterson murdered relatives with beef Wellingtons laced with toxic mushrooms. As hype over the game grows, so do concerns about the potential for brain injuries. Cassius Turvey's killers were ""callous and lacking in empathy"" as they beat him up, the judge said. More than 4,000 Tuvalu citizens have entered the ballot for a world-first climate visa to Australia. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.",1
"Two people are found dead by firefighters in Spain's Catalonia region, with heat-related fatalities in France and Italy.  A magnetic extractor is changing the face of front-line medicine in Ukraine. The sentence comes off the back of a souring of relations between French and Algeria.  The 18 year olds will join males in a lottery that could require them undergo a period of service. Several European regions had their highest temperatures on the last day of June, as a heatwave continues into July. A magnetic extractor is changing the face of front-line medicine in Ukraine. On Tuesday the White House said that it had cut off some weapons deliveries to Ukraine in order ""to put America's interests first"".  The attack on a factory in the city of Izhevsk was more than 1,000km (620 miles) from the border. The sentence comes off the back of a souring of relations between French and Algeria.  The rift exposes wider geopolitical shifts in the region, as Azerbaijan challenges Moscow's dominant role. Clashes broke out outside the Istanbul office of the satirical magazine LeMan. The UK and French governments are set to announce measures aimed at returning some migrants. Sergei Tikhanovsky was kept isolated in bare, tiny cells and tells the BBC that Belarus must free other political prisoners. A giant crowd throngs the Hungarian capital, championing LGBT rights and defying PM Viktor Orban. Russian shattered Mariupol with a months-long siege in 2022. Now, it says it's rebuilding it. The festivities are expected to last three days, ending with a large party on Saturday.  The bitter standoff between Nikol Pashinyan and the Church has seen arrests and an alleged coup plot. There were unexpected moments of levity among the momentous decisions on raising spending to levels not seen since the Cold War.  The 55-year-old started her career as journalist and is also a pilot with a keen interest in aviation. A couple have told the BBC about considering getting married after believing they had won a small fortune. A new heat record for June of 46C was set in Spain this weekend as Europe experiences an intense heatwave. BBC Rome correspondent Sarah Rainsford reports from Venice, amid protests against the nuptials. Unflattering installations depicting Amazon founder and his bride-to-be are attracting attention in the Italian city. Two people are found dead by firefighters in Spain's Catalonia region, with heat-related fatalities in France and Italy.  In 2024 a jury found McGregor assaulted Nikita Hand in a Dublin hotel in December 2018. Carey admitted dishonestly inducing people to pay him money after he fraudulently claimed to have cancer. A magnetic extractor is changing the face of front-line medicine in Ukraine. Mr Gibney is wanted in the Republic of Ireland to face more than 50 historical sexual abuse charges.  The attack on a factory in the city of Izhevsk was more than 1,000km (620 miles) from the border. Several European regions had their highest temperatures on the last day of June, as a heatwave continues into July. In 2024 a jury found McGregor assaulted Nikita Hand in a Dublin hotel in December 2018. Sir Keir Starmer has promised to ""smash the gangs"" which smuggle people across the English Channel. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.",1
"The prosecutor's office accuses rebels of killing eight people after fearing the alleged formation of a rival group. It says drought has compounded poverty, hunger, and energy insecurity worldwide. The gang would drill fuel out of pipelines before selling it illegally across the capital and two other states. José Miguel Castro was collaborating with prosecutors in the corruption case against Susana Villarán. The US hopes the Hugo Carvajal will provide them with incriminating information on President Maduro.  It says drought has compounded poverty, hunger, and energy insecurity worldwide. President Trump says a statutory ban on tourism to Cuba will be enforced more strictly.  Administration officials say the new facility will speed up deportations, but local politicians and environmental groups have raised concerns. The gang would drill fuel out of pipelines before selling it illegally across the capital and two other states. Fluminense goalkeeper Fabio has helped his side into the Club World Cup quarter-final as he eyes Peter Shilton's appearance world record. Surrounded by alligator infested swamps, BBC Mundo visited the site forming part of the Trump administration's mass deportation agenda. A Colombian woman describes how she was recruited for sexcam work at 17 and encouraged to livestream from school. The telescope should detect killer asteroids and may even find the ninth planet in our solar system. The ruling hands a victory to the Trump administration in its pursuit of mass deportations.  Video shows communities in the affected areas dealing with flood waters and a messy clean-up. The 5.6 magnitude earthquake struck near Lima, Peru on Sunday morning, causing panic at the city's cathedral. Demonstrations have continued in other major US cities, including Chicago, where protesters clashed with police on Tuesday. The 6.4 magnitude earthquake interrupted the broadcast, shaking the equipment in the studio. The prosecutor's office accuses rebels of killing eight people after fearing the alleged formation of a rival group. The gang would drill fuel out of pipelines before selling it illegally across the capital and two other states. José Miguel Castro was collaborating with prosecutors in the corruption case against Susana Villarán. The US hopes the Hugo Carvajal will provide them with incriminating information on President Maduro.  The leader of Los Choneros gang, Adolfo Macías Villamar, had been on the run for 17 months. A Colombian woman describes how she was recruited for sexcam work at 17 and encouraged to livestream from school. Fifty-seven soldiers had been seized over the weekend and held captive in the restive Cauca region.  The military says the civilians were acting under pressure from dissidents of the Farc rebel group. Police say a fire reportedly broke out aboard the balloon, prompting the pilot to try to lower it.     Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.",1
